time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.085,-234565.25,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-11.388943,-234565.22,0,4
0.086,-235001.2,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-11.628198,-235001.17,0,4
0.087,-238235.05,-0.030765533,598.0039,0.0010681599,0.5927335,13.832668,-0.0012416292,-10.871113,-238235.02,0,4
0.088,-239152.56,-0.030765533,598.0039,0.0028992742,0.5927335,13.832668,-0.0012416292,-11.707838,-239152.53,0,4
0.089,-241234.88,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-12.10704,-241234.84,0,4
0.09,-244408.19,-0.030765533,598.0039,0.0016785264,0.5927335,13.832668,-0.0012416292,-11.348622,-244408.16,0,4
0.091,-246290.44,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-11.388609,-246290.4,0,4
0.092,-246891.73,-0.030765533,598.0039,0.0030518621,0.5927335,13.832668,-0.0012416292,-12.107373,-246891.7,0,4
0.093,-251615.0,-0.030765533,598.0039,0.00091555715,0.5927335,13.832668,-0.0012416292,-11.349622,-251614.97,0,4
0.094,-248284.52,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-13.539906,-248284.48,0,4
0.095,-253460.05,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-10.671511,-253460.02,0,4
0.096,-254732.53,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-9.357274,-254732.5,0,4
0.097,-254364.27,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-8.482559,-254364.23,0,4
0.098,-256490.86,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-7.2482963,-256490.83,0,4
0.099,-255655.44,-0.030765533,598.0039,0.0022888929,0.5927335,13.832668,-0.0012416292,-7.089015,-255655.4,0,4
0.1,-257817.05,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-6.9693875,-257817.02,0,4
0.101,-259524.98,-0.030765533,598.0039,0.0022888929,0.5927335,13.832668,-0.0012416292,-6.172315,-259524.95,0,4
0.102,-258227.78,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-6.333595,-258227.75,0,5
0.103,-259323.22,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-5.7374563,-259323.19,0,5
0.104,-259601.83,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-5.7761106,-259601.8,0,5
0.105,-261140.39,-0.030765533,598.0039,0.0028992742,0.5927335,13.832668,-0.0012416292,-4.939718,-261140.36,0,5
0.106,-262348.3,-0.030765533,598.0039,0.00320445,0.5927335,13.832668,-0.0012416292,-5.457215,-262348.28,0,5
0.107,-261271.48,-0.030765533,598.0039,0.0027466863,0.5927335,13.832668,-0.0012416292,-5.059012,-261271.45,0,5
